iter	Passed	Remaining
0	70	70516
1	73	36898
2	79	26386
3	87	21678
4	91	18182
5	94	15613
6	99	14168
7	110	13702
8	122	13456
9	133	13181
10	143	12904
11	153	12632
12	157	11928
13	165	11636
14	176	11573
15	188	11617
16	200	11570
17	219	11949
18	228	11808
19	252	12360
20	261	12170
21	271	12060
22	284	12099
23	294	11969
24	302	11797
25	309	11611
26	320	11565
27	345	11989
28	365	12248
29	367	11873
30	375	11746
31	391	11836
32	403	11835
33	419	11929
34	435	12017
35	460	12326
36	475	12363
37	490	12424
38	500	12337
39	515	12372
40	530	12408
41	553	12629
42	572	12739
43	593	12884
44	603	12817
45	614	12734
46	621	12598
47	635	12607
48	666	12935
49	676	12860
50	694	12929
51	704	12836
52	713	12754
53	727	12736
54	744	12785
55	769	12973
56	782	12949
57	790	12836
58	808	12897
59	821	12863
60	841	12957
61	858	12986
62	871	12954
63	879	12861
64	887	12765
65	901	12760
66	912	12709
67	923	12652
68	941	12697
69	949	12611
70	972	12728
71	993	12803
72	1005	12766
73	1014	12696
74	1017	12551
75	1026	12478
76	1029	12345
77	1037	12262
78	1046	12195
79	1057	12163
80	1066	12105
81	1080	12099
82	1095	12099
83	1104	12049
84	1119	12049
85	1132	12034
86	1143	12003
87	1156	11982
88	1180	12085
89	1189	12025
90	1195	11941
91	1207	11919
92	1217	11875
93	1225	11813
94	1233	11748
95	1239	11673
96	1251	11653
97	1265	11644
98	1279	11642
99	1290	11618
100	1308	11649
101	1315	11585
102	1327	11560
103	1338	11534
104	1349	11500
105	1370	11556
106	1386	11571
107	1394	11516
108	1400	11449
109	1418	11477
110	1432	11474
111	1444	11453
112	1455	11426
113	1468	11413
114	1493	11492
115	1501	11440
116	1519	11465
117	1532	11452
118	1540	11407
119	1550	11369
120	1568	11391
121	1586	11418
122	1599	11406
123	1606	11349
124	1617	11322
125	1630	11309
126	1644	11301
127	1658	11297
128	1667	11261
129	1680	11246
130	1689	11206
131	1704	11205
132	1713	11171
133	1721	11124
134	1731	11093
135	1743	11074
136	1747	11011
137	1755	10963
138	1764	10930
139	1775	10907
140	1785	10880
141	1796	10853
142	1813	10867
143	1833	10899
144	1847	10894
145	1856	10859
146	1861	10803
147	1868	10755
148	1872	10692
149	1886	10689
150	1896	10665
151	1906	10637
152	1910	10577
153	1917	10535
154	1927	10509
155	1936	10475
156	1949	10469
157	1963	10463
158	1972	10433
159	1981	10405
160	1993	10387
161	2014	10421
162	2025	10399
163	2035	10375
164	2041	10329
165	2061	10358
166	2079	10374
167	2086	10334
168	2094	10298
169	2115	10330
170	2128	10320
171	2146	10334
172	2167	10361
173	2179	10346
174	2184	10297
175	2199	10299
176	2208	10267
177	2217	10238
178	2225	10206
179	2233	10175
180	2251	10187
181	2267	10190
182	2279	10174
183	2288	10150
184	2302	10143
185	2318	10146
186	2329	10125
187	2330	10067
188	2337	10028
189	2345	10000
190	2370	10039
191	2382	10024
192	2394	10012
193	2405	9993
194	2421	9996
195	2442	10021
196	2461	10032
197	2478	10039
198	2496	10046
199	2506	10025
200	2521	10022
201	2537	10024
202	2552	10019
203	2564	10006
204	2570	9969
205	2574	9924
206	2581	9889
