gemeente,predicted_num_accidents,total_pop,people_that_cycle,accidents_per_100_cyclists,bin_encoded,risk_tier
Gent,568,272657.0,193586.47,0.2934089350355942,2,Red
Brugge,219,120283.0,85400.93,0.2564374884442125,2,Red
Leuven,207,104906.0,74483.26,0.2779147958883647,2,Red
Kortrijk,133,80776.0,57350.96,0.23190544674404753,2,Red
Mechelen,132,89655.0,63655.049999999996,0.20736767939071607,1,Yellow
Hasselt,111,90249.0,64076.78999999999,0.17322965148535063,1,Yellow
Aalst,103,92131.0,65413.009999999995,0.15746103107011894,1,Yellow
Genk,99,68058.0,48321.18,0.20487910270403165,1,Yellow
Oostende,90,72817.0,51700.07,0.17408100221140899,1,Yellow
Ieper,81,35587.0,25266.77,0.3205791638583009,2,Red
Dendermonde,71,47539.0,33752.689999999995,0.21035360440901157,1,Yellow
Brasschaat,69,38416.0,27275.359999999997,0.2529755794240663,2,Red
Lokeren,67,50606.0,35930.259999999995,0.1864723494903739,1,Yellow
Lier,55,38517.0,27347.07,0.20111843791674938,1,Yellow
Evergem,54,37254.0,26450.34,0.20415616585646915,1,Yellow
Vilvoorde,54,48040.0,34108.4,0.1583187719154226,1,Yellow
Pelt,51,34635.0,24590.85,0.20739421370143776,1,Yellow
Geel,48,42427.0,30123.17,0.1593457793452681,1,Yellow
Herentals,45,29001.0,20590.71,0.2185451594432635,1,Yellow
Deinze,42,46026.0,32678.46,0.12852502841321164,1,Yellow
Houthalen-Helchteren,41,30945.0,21970.949999999997,0.18661004644769574,1,Yellow
Izegem,41,29427.0,20893.17,0.19623637772535238,1,Yellow
Aalter,40,29830.0,21179.3,0.18886365460614846,1,Yellow
Bree,39,17210.0,12219.099999999999,0.31917244314229365,2,Red
Heist-op-den-Berg,39,44723.0,31753.329999999998,0.12282176389059038,0,Green
Lommel,39,35208.0,24997.68,0.15601447814357172,1,Yellow
Zele,39,21521.0,15279.91,0.2552371054541551,2,Red
Aarschot,36,31514.0,22374.94,0.16089428619696858,1,Yellow
Tienen,34,36890.0,26191.899999999998,0.12981112481339652,1,Yellow
Westerlo,34,25691.0,18240.61,0.18639727509112908,1,Yellow
Diest,30,25141.0,17850.11,0.16806619118873775,1,Yellow
Wervik,24,19207.0,13636.97,0.17599217421465327,1,Yellow
Brecht,22,30664.0,21771.44,0.10104981572188151,0,Green
Maasmechelen,22,40486.0,28745.059999999998,0.0765348898210684,0,Green
Asse,21,35882.0,25476.219999999998,0.08242981101591995,0,Green
Nijlen,21,23747.0,16860.37,0.12455242678541455,0,Green
Herent,20,23081.0,16387.51,0.12204416656343767,0,Green
Halle,18,42884.0,30447.64,0.05911788237117885,0,Green
Hamme,18,25706.0,18251.26,0.09862332792366117,0,Green
Torhout,18,21159.0,15022.89,0.11981715901534261,0,Green
Lille,16,17130.0,12162.3,0.13155406460948998,1,Yellow
Zemst,16,23369.0,16591.989999999998,0.0964320735487425,0,Green
Maaseik,15,25828.0,18337.879999999997,0.08179789593998871,0,Green
Malle,15,16248.0,11536.08,0.1300268375392681,1,Yellow
Nieuwpoort,15,11399.0,8093.29,0.1853387188646397,1,Yellow
Beersel,14,26593.0,18881.03,0.0741484971953331,0,Green
Zaventem,14,37271.0,26462.41,0.05290523425492992,0,Green
Kampenhout,13,12606.0,8950.26,0.14524717717697586,1,Yellow
Balen,12,23777.0,16881.67,0.07108301489129927,0,Green
Dessel,12,10076.0,7153.96,0.16773926608479778,1,Yellow
Lanaken,12,26457.0,18784.469999999998,0.06388255830481243,0,Green
Meise,11,20392.0,14478.32,0.07597566568496898,0,Green
Peer,11,16685.0,11846.349999999999,0.09285560531302892,0,Green
Ardooie,10,9514.0,6754.94,0.14803980494275304,1,Yellow
Herk-de-Stad,9,12927.0,9178.17,0.09805876334824916,0,Green
Lummen,9,15347.0,10896.369999999999,0.08259631418536632,0,Green
Wemmel,9,18292.0,12987.32,0.06929836178672737,0,Green
Sint-Pieters-Leeuw,8,36732.0,26079.719999999998,0.030675175960478106,0,Green
As,7,8298.0,5891.58,0.11881362894164214,0,Green
Pepingen,5,4564.0,3240.44,0.15430003332880718,1,Yellow
Kraainem,3,13940.0,9897.4,0.030310990765251483,0,Green
Heers,2,7574.0,5377.54,0.037191727072230056,0,Green
